feature,coef
y2_t0 y3_t3,0.3089127491130881
y2_t0 y3_t2,0.3089127491130881
y2_t1 y3_t2,0.3089127491130881
y2_t1 y3_t3,0.3089127491130881
y1_t1^2,-0.30056621645800286
y1_t0 y1_t1,-0.30056621645800286
y1_t0^2,-0.30056621645800286
y3_t3 y1_t4,0.3005371057750243
y3_t3 y1_t5,0.3005371057750243
y3_t2 y1_t4,0.3005371057750243
y3_t2 y1_t5,0.3005371057750243
y3_t1 y4_t1,0.2977533546204627
y3_t0 y4_t0,0.2977533546204627
y3_t0 y4_t1,0.2977533546204627
y4_t0 y3_t1,0.2977533546204627
y1_t1 y4_t5,0.29360400088934296
y1_t1 y4_t4,0.29360400088934296
y1_t0 y4_t5,0.29360400088934296
y1_t0 y4_t4,0.29360400088934296
y1_t2 y1_t6,0.29338169248883567
y1_t3 y1_t6,0.29338169248883567
y1_t3 y1_t7,0.29338169248883567
y1_t2 y1_t7,0.2933816924888356
y1_t4 y4_t7,0.288535086372649
y1_t5 y4_t7,0.288535086372649
y1_t4 y4_t6,0.288535086372649
y1_t5 y4_t6,0.288535086372649
y2_t4 y3_t4,0.28225761422629103
y3_t4 y2_t5,0.28225761422629103
y2_t4 y3_t5,0.28225761422629103
y2_t5 y3_t5,0.28225761422629103
y4_t0 y2_t3,-0.2816952496780878
y4_t0 y2_t2,-0.2816952496780878
y4_t1 y2_t3,-0.2816952496780878
y4_t1 y2_t2,-0.2816952496780878
y4_t0 y1_t6,0.2795002518194918
y4_t1 y1_t6,0.2795002518194918
y4_t0 y1_t7,0.2795002518194918
y4_t1 y1_t7,0.2795002518194918
y3_t2^2,-0.2760352967167491
y3_t2 y3_t3,-0.2760352967167491
y3_t3^2,-0.2760352967167491
y3_t1 y3_t2,-0.2741278095198309
y3_t0 y3_t2,-0.2741278095198309
y3_t0 y3_t3,-0.2741278095198309
y3_t1 y3_t3,-0.2741278095198309
y4_t2 y3_t6,0.2700262232612597
y4_t2 y3_t7,0.2700262232612597
y4_t3 y3_t7,0.2700262232612597
y4_t3 y3_t6,0.2700262232612597
y3_t4 y4_t4,0.26423113982487106
y3_t5 y4_t5,0.26423113982487106
y3_t4 y4_t5,0.26423113982487106
y4_t4 y3_t5,0.26423113982487106
y1_t0 y2_t4,0.2628982723141581
y1_t0 y2_t5,0.2628982723141581
y1_t1 y2_t4,0.2628982723141581
y1_t1 y2_t5,0.2628982723141581
y4_t1 y4_t6,0.2612397084333628
y4_t0 y4_t6,0.2612397084333628
y4_t1 y4_t7,0.2612397084333628
y4_t0 y4_t7,0.2612397084333628
y3_t2 y2_t3,0.2564013451382819
y2_t2 y3_t3,0.2564013451382819
y2_t2 y3_t2,0.2564013451382819
y2_t3 y3_t3,0.2564013451382819
y3_t0 y4_t6,-0.2519964452039878
y3_t1 y4_t6,-0.2519964452039878
y3_t1 y4_t7,-0.2519964452039878
y3_t0 y4_t7,-0.2519964452039878
y2_t1 y4_t7,0.2431655891127546
y2_t1 y4_t6,0.2431655891127546
y2_t0 y4_t7,0.2431655891127546
y2_t0 y4_t6,0.2431655891127546
y2_t5 y3_t7,0.23802920215426368
y2_t4 y3_t7,0.23802920215426368
y2_t5 y3_t6,0.23802920215426368
y2_t4 y3_t6,0.23802920215426368
y1_t3 y4_t4,0.23772489166452526
y1_t3 y4_t5,0.23772489166452526
y1_t2 y4_t4,0.23772489166452526
y1_t2 y4_t5,0.23772489166452526
y1_t0 y3_t3,0.2358977723387494
y1_t1 y3_t3,0.2358977723387494
y1_t1 y3_t2,0.2358977723387494
y1_t0 y3_t2,0.2358977723387494
y3_t0 y3_t1,-0.22503875741201912
y3_t1^2,-0.22503875741201912
y3_t0^2,-0.22503875741201912
y1_t4 y4_t4,0.2178855713668284
y1_t5 y4_t5,0.2178855713668284
y4_t4 y1_t5,0.2178855713668284
y1_t4 y4_t5,0.2178855713668284
y3_t6 y4_t7,0.2152771902935806
y4_t6 y3_t7,0.2152771902935806
y3_t6 y4_t6,0.2152771902935806
y3_t7 y4_t7,0.21527719029358056
y4_t0 y1_t4,0.20905863921690887
y4_t1 y1_t5,0.20905863921690848
y4_t0 y1_t5,0.20905863921690848
y4_t1 y1_t4,0.20905863921690848
y3_t1 y1_t3,-0.20081527388661669
y3_t1 y1_t2,-0.20081527388661669
y3_t0 y1_t2,-0.20081527388661669
y3_t0 y1_t3,-0.20081527388661669
y1_t6 y4_t7,-0.199169151916049
y1_t7 y4_t7,-0.199169151916049
y4_t6 y1_t7,-0.199169151916049
y1_t6 y4_t6,-0.199169151916049
y2_t0 y2_t5,-0.1896346148058784
y2_t1 y2_t5,-0.1896346148058784
y2_t1 y2_t4,-0.1896346148058784
y2_t0 y2_t4,-0.1896346148058784
y3_t3 y3_t5,-0.18920896134238133
y3_t2 y3_t4,-0.18920896134238133
y3_t3 y3_t4,-0.18920896134238133
y3_t2 y3_t5,-0.18920896134238133
y1_t2 y3_t7,0.1858990384320014
y1_t3 y3_t6,0.1858990384320014
y1_t3 y3_t7,0.1858990384320014
y1_t2 y3_t6,0.18589903843200137
y4_t0 y3_t2,0.1840089283793583
y4_t1 y3_t3,0.1840089283793583
y4_t1 y3_t2,0.1840089283793583
y4_t0 y3_t3,0.1840089283793583
y1_t2 y3_t4,0.18239220909516224
y1_t3 y3_t5,0.18239220909516224
y1_t3 y3_t4,0.18239220909516224
y1_t2 y3_t5,0.18239220909516224
y4_t2 y2_t3,0.18171048402014683
y2_t2 y4_t3,0.18171048402014683
y2_t2 y4_t2,0.18171048402014683
y2_t3 y4_t3,0.18171048402014678
