,x1__last,x2__last,x3__last,x4__last,x5__last,x6__last,x7__last,x8__last,x1__mean,x2__mean,x3__mean,x4__mean,x5__mean,x6__mean,x7__mean,x8__mean,x1__delta,x2__delta,x3__delta,x4__delta,x5__delta,x6__delta,x7__delta,x8__delta,y1__mean,y2__mean,y3__mean,y4__mean,y1__last,y2__last,y3__last,y4__last,Y
x5__delta,0.19722227206317555,0.45287024332511944,0.2207191581567764,0.11257818669586879,0.9348932930801909,0.48446981368864545,0.024900294838547502,0.1367571850663659,0.029063235729387193,-0.14390340755715736,0.0771316234354763,-0.10488701634578462,-0.09965519044086338,0.3043077287119178,0.02466082067531029,0.04943538550815619,0.09762596326586478,0.5213489487127658,0.3541756979628044,0.1760001903939296,1.0,0.45406140934735567,0.024900294838547464,0.12596218974908882,0.1549963578643224,0.16350885730125386,-0.030494812721771385,0.06329086786237141,0.07550175136849344,0.012020640598325373,-0.034640162256620116,-0.023493703817046494,0.03145014996784229
x6__delta,0.23111781848043447,0.3837895233483808,0.17041214169978872,0.025510720802907828,0.40883040800438725,0.7483108363258096,0.12738607756804649,0.04516360645000577,0.31250603555944795,-0.3457795879457457,0.20943726526546882,-0.2996463818530267,-0.4196954092262076,0.5114417314739714,0.08521233059029135,0.17572676962707617,0.10860329175601433,0.5919134439557603,0.2630202566753645,0.10731671935571445,0.45406140934735567,1.0,0.1273860775680464,0.031922490131040614,0.31984720554280593,0.2699586868776785,-0.12289797324089272,-0.01208901317774689,0.43499095177518754,0.253059338273842,-0.022866033433189915,-0.028834572642044053,0.18272525579819912
x7__delta,0.011686220047895268,0.11523378639919563,-0.22786007003283995,-0.274531361006817,-0.019256179837801764,0.008224127719632086,1.0,-0.009076940483322322,0.34870512897035566,0.2531922954933666,-0.15256895611069804,-0.22654755098335905,-0.14950020784682902,0.08529066783916661,0.9268484058700434,0.6052839550056457,-0.01947812971336366,0.1373057912687765,-0.017388881839934114,-0.22987713066293755,0.024900294838547464,0.1273860775680464,1.0,-0.05648334964066299,0.23535445158465637,0.039519865147216476,0.43830881440670383,0.3471501558178862,0.03456988621531374,-0.022185601889260515,0.5302394216203201,0.6272892158753671,0.207586683481123
x8__delta,0.1857905410870038,0.05167283916342361,0.20745924453477646,0.10458888528057185,0.14267434943873653,0.036015308528098075,-0.05648334964066299,0.9706509713300498,0.1283098788460564,-0.23377105220132646,0.11457904781225933,-0.030527396143156006,0.062335512635205426,-0.12819240892497866,-0.11369544452282318,0.23615235867245274,-0.05038198391804192,0.0734659071295964,0.07047049977191276,0.12959727382717245,0.12596218974908882,0.031922490131040614,-0.05648334964066299,1.0,-0.1765376563060061,0.03422917585030848,-0.1381425658015728,-0.1680938716571737,-0.10740329212719289,-0.006989172617753733,-0.08255771850861884,-0.2783727176725113,-0.10175533047973334
y1__mean,-0.03757689682037428,0.1087770047799443,0.09756975435456447,0.01564437125340787,0.10068614317908803,0.25629545711308843,0.23535445158465637,-0.12947611563111652,0.08943399455575365,-0.12442899292020629,0.19906287143747128,-0.16653525920544057,-0.29484815381825785,0.34119877772898405,0.21605588225262418,0.12766097306170432,-0.02877904475484944,0.28486410979652166,0.22063718684112915,-0.016433816366099276,0.1549963578643224,0.31984720554280593,0.23535445158465637,-0.1765376563060061,1.0,0.5433259500600698,0.04995046606850506,0.23004128493471318,0.6010875918034934,0.39551740458661044,0.032777148481084435,0.27096696376802976,0.26161354787073254
y2__mean,-0.0024544114147641762,0.07519727467581039,0.30245679491826033,0.20070789653608365,0.08451081025228416,0.21243893614397652,0.039519865147216476,0.07218403505375598,0.2672677050925373,-0.27367439544740557,0.2502167439732244,-0.3769165477737333,-0.3538434712514024,0.10361110719491272,-0.07754531795136729,0.3156104468519183,-0.08372659832697762,0.17221693453892375,0.19122387753357678,0.20166389144460678,0.16350885730125386,0.2699586868776785,0.039519865147216476,0.03422917585030848,0.5433259500600698,1.0,-0.34920379195572676,-0.19039897116834864,0.5057253792918245,0.6210995623059647,-0.34073934486420876,-0.4154204463816714,0.009666794234973027
y3__mean,-0.08009818335399088,-0.16274412010565703,-0.46939210920392194,-0.4888917933672546,-0.011529401276456967,-0.3614134914709107,0.43830881440670383,-0.1562911199597606,-0.15396731653084572,0.23149365976329878,-0.5007911073292167,-0.13873402382856578,0.22111110760165342,-0.10579604769943027,0.5949905021231557,-0.16247245680125247,0.07727445002953975,-0.22476677165584136,-0.22166189556554525,-0.46162120541563817,-0.030494812721771385,-0.12289797324089272,0.43830881440670383,-0.1381425658015728,0.04995046606850506,-0.34920379195572676,1.0,0.7404844372860443,-0.4276278896685228,-0.49985717604324376,0.8934034782588773,0.8882576506674396,0.2013065431650991
y4__mean,-0.0037398675314975847,-0.11016354378592016,-0.3532892587549772,-0.36227533813177243,0.07930690236075194,-0.17142187243604984,0.3471501558178862,-0.17088427701079809,-0.12794278632633718,0.12314481126478363,-0.3317158959780364,-0.1317792895566272,0.119698781266033,0.06967775504967573,0.4848919255078369,-0.1492185811517773,0.10903133959340114,-0.07523216570427556,-0.08656868664054658,-0.3802385517823456,0.06329086786237141,-0.01208901317774689,0.3471501558178862,-0.1680938716571737,0.23004128493471318,-0.19039897116834864,0.7404844372860443,1.0,-0.19479881343532665,-0.36181913710486785,0.6637634758136151,0.8378922123493184,0.25210717409195915
y1__last,-0.04621529821896044,0.3166670130605382,0.34669624860242687,0.3105420695816529,-0.006750191908532169,0.4557745601644457,0.03456988621531374,-0.0922009496747994,0.118409565198863,-0.055352457066851296,0.435273866192547,0.04349932760411068,-0.436504257466355,0.3376295142774261,-0.0428735632473713,0.13310706448950665,-0.082203003443706,0.4251319392242885,0.37751170051076777,0.3027027260939169,0.07550175136849344,0.43499095177518754,0.03456988621531374,-0.10740329212719289,0.6010875918034934,0.5057253792918245,-0.4276278896685228,-0.19479881343532665,1.0,0.731985262320936,-0.3351368784933502,-0.10099738687466463,0.27341211065021975
y2__last,0.002965666490585395,0.21180982821108027,0.27684261908228774,0.26900925964288197,-0.07531516601462362,0.2949895996829706,-0.022185601889260515,0.030403708997006524,0.06625253579857947,-0.0836254277356217,0.2750732006513458,-0.018600870705544094,-0.34513258079600834,0.1401039349142014,-0.1422938257994783,0.1393993613068594,-0.039839839296842296,0.24398093105438856,0.22387170266322856,0.25348693325886085,0.012020640598325373,0.253059338273842,-0.022185601889260515,-0.006989172617753733,0.39551740458661044,0.6210995623059647,-0.49985717604324376,-0.36181913710486785,0.731985262320936,1.0,-0.4556139311970244,-0.3675016185919612,0.033833520623630785
y3__last,-0.04412780295541753,-0.1560765452392716,-0.40149296925485534,-0.469987438361322,-0.025861184256685026,-0.3070224959644374,0.5302394216203201,-0.10699293097128325,-0.012523950357603654,0.18928290661027336,-0.34143405867762144,-0.17808436111332673,0.13998822449739382,-0.02313724199675224,0.6882187469320267,-0.04892626509924079,0.09416632595525992,-0.16520930686004237,-0.1201926455608454,-0.4310109730292712,-0.034640162256620116,-0.022866033433189915,0.5302394216203201,-0.08255771850861884,0.032777148481084435,-0.34073934486420876,0.8934034782588773,0.6637634758136151,-0.3351368784933502,-0.4556139311970244,1.0,0.8992370165656803,0.28347880052201135
y4__last,-0.20693208111737846,-0.03150613864992498,-0.5604198836822546,-0.4833547425569645,-0.045522055594767616,-0.25234396564526823,0.6272892158753671,-0.2835905425068057,-0.24461112418772438,0.4825183529130525,-0.5402417893376177,-0.017904835765141763,0.10723632339364214,0.12603915020988685,0.7740655814750557,-0.20955261953071128,0.09371277094441105,-0.09977799851927288,-0.08622187020764135,-0.4686570878270696,-0.023493703817046494,-0.028834572642044053,0.6272892158753671,-0.2783727176725113,0.27096696376802976,-0.4154204463816714,0.8882576506674396,0.8378922123493184,-0.10099738687466463,-0.3675016185919612,0.8992370165656803,1.0,0.47950700522040535
Y,0.07830872321246368,0.11626146964206141,-0.09732720629266697,-0.020210837364716922,-0.0132579877786696,0.18947873059430334,0.207586683481123,-0.08864570853624618,0.0274502706771831,0.06590395073826932,0.0002325802201801607,0.051056108243107474,-0.09379455727868165,0.22608534851357914,0.2206346892719666,0.07061683215465067,0.16835444689515158,0.21328233040205044,0.03786409826033764,0.007794933708126746,0.03145014996784229,0.18272525579819912,0.207586683481123,-0.10175533047973334,0.26161354787073254,0.009666794234973027,0.2013065431650991,0.25210717409195915,0.27341211065021975,0.033833520623630785,0.28347880052201135,0.47950700522040535,1.0
